District,Date,Sox,Nox,PM10,NH3,AQI
Warangal Urban,1-Sep,6,27.9,39,31,41
Warangal Urban,1-Oct,5,27.8,63,39,64
Warangal Urban,1-Nov,4.4,24,49,40,49
Warangal Urban,1-Dec,4.8,25.4,68,38,116
Warangal  Rural,1-Jan,7,28.5,97,26,94
Warangal  Rural,1-Feb,7,39.1,98,59,96
Warangal  Rural,1-Mar,7.1,32,80,58,79
Warangal  Rural,1-Apr,8.2,36.3,82,45,83
Warangal  Rural,1-May,8.5,41.2,81,53,81
Warangal  Rural,1-Jun,8.7,38.2,84,61,84
Warangal  Rural,1-Jul,36.1,38.8,70,57,70
Warangal  Rural,1-Aug,8.6,35.7,73,58,73
Warangal  Rural,1-Sep,86,38,80,52,80
Warangal  Rural,1-Oct,91,38.6,89,57,89
Warangal  Rural,1-Nov,9.6,46.7,96,52,94
Warangal  Rural,1-Dec,9.5,45.7,88,58,88
Warangal  Rural,1-Jan,10.3,54.5,91,68,91
Warangal  Rural,1-Feb,10.1,56,91,69,91
Warangal  Rural,1-Mar,10.2,54.6,92,68,92
Warangal  Rural,1-Apr,10.1,54,89,70,89
Warangal  Rural,1-May,9.5,55.2,93,70,93
Warangal  Rural,1-Jun,8.6,47.6,86,69,86
Warangal  Rural,1-Jul,8.5,458,87,57,87
Warangal  Rural,1-Aug,8.4,47.3,80,67,80
Warangal  Rural,1-Sep,7.9,46.9,73,61,73
Warangal  Rural,1-Oct,7.4,48.4,85,60,85
Warangal  Rural,1-Nov,7.1,50.9,91,63,91
Warangal  Rural,1-Dec,6.5,50.5,87,66,87
Warangal  Rural,1-Jan,6,49.2,89,64,89
Warangal  Rural,1-Feb,6.2,51.1,88,70,88
Warangal  Rural,1-Mar,5.9,38.1,74,54,74
Warangal  Rural,1-Apr,6,38,26,20,41
Warangal  Rural,1-May,6.8,39.3,58,30,65
Warangal  Rural,1-Jun,7.1,32.2,56,34,58
Warangal  Rural,1-Jul,8.6,44.9,48,31,67
Warangal  Rural,1-Aug,7,45,49,33,61
Warangal  Rural,1-Sep,7.2,40.7,39,31,55
Warangal  Rural,1-Oct,7.2,38.1,54,33,61
Warangal  Rural,1-Nov,6.8,53.5,93,63,92
Warangal  Rural,1-Dec,7.4,35.2,93,36,91
Warangal  Rural,1-Jan,6.4,42.2,81,71,81
Warangal  Rural,1-Feb,6.9,47.4,88,69,88
Warangal  Rural,1-Mar,7.7,36.3,75,41,75
Warangal  Rural,1-Apr,8.9,34,71,49,71
Warangal  Rural,1-May,8.5,32,45,45,51
Warangal  Rural,1-Jun,8,30.8,83,43,81
Warangal  Rural,1-Jul,5.8,28.7,57,46,57
Warangal  Rural,1-Aug,6.8,32.7,60,42,60
Warangal  Rural,1-Sep,7.3,32.7,55,44,55
Warangal  Rural,1-Oct,8.1,31.2,54,45,64
Warangal  Rural,1-Nov,8.3,32.5,65,37,65
Warangal  Rural,1-Dec,7.3,34.3,69,37,69
Warangal  Rural,1-Jan,7.1,31,73,36,73
Warangal  Rural,1-Feb,8.4,31,73,49,
Warangal  Rural,1-Mar,8,33.1,76,39,73
Warangal  Rural,1-Apr,5.7,34.2,60,40,76
Warangal  Rural,1-May,6,34.2,77,40,6077
Warangal  Rural,1-Jun,5.8,34.7,85,39,85
Warangal  Rural,1-Jul,6.4,30.2,47,36,
Warangal  Rural,1-Aug,5.5,26.6,56,23,47
Warangal  Rural,1-Sep,6,29.9,48,27,56
Warangal  Rural,1-Oct,5,32.2,63,39,48
Warangal  Rural,1-Nov,4.4,35,95,37,64
Warangal  Rural,1-Dec,4.8,32.6,95,35,94
Khammam,1-Jan,8.1,28,67,25,94
Khammam,1-Feb,7.2,38.6,66,62,68
Khammam,1-Mar,8.6,31.6,71,55,71
Khammam,1-Apr,8.5,36,77,49,77
Khammam,1-May,8.8,40.1,77,58,77
Khammam,1-Jun,8.6,37.9,83,57,83
Khammam,1-Jul,8.7,36.8,75,56,75
Khammam,1-Aug,8.9,36.4,79,51,79
Khammam,1-Sep,9.1,38.7,84,54,84
Khammam,1-Oct,9.7,37.9,85,53,85
Khammam,1-Nov,10.6,44.3,92,54,92
Khammam,1-Dec,10,41.8,88,63,88
Khammam,1-Jan,10.6,55.1,107,62,94
Khammam,1-Feb,9.2,57.8,103,69,90
Khammam,1-Mar,10.2,54.6,105,74,91
Khammam,1-Apr,9.9,54.8,113,79,90
Khammam,1-May,8.7,53.6,105,76,88
Khammam,1-Jun,8.6,46.9,100,73,81
Khammam,1-Jul,8.1,49.8,100,72,77
Khammam,1-Aug,8.4,48.5,102,70,84
Khammam,1-Sep,8,49.7,97,63,78
Khammam,1-Oct,7.1,50.8,104,71,86
Khammam,1-Nov,6.9,52,107,70,85
Khammam,1-Dec,6.5,48.9,119,77,84
Khammam,1-Jan,6,49.1,88,66,88
