,Date,No. of Diesel cars
864,5/26/2021,462
865,5/27/2021,534
866,5/28/2021,623
867,5/29/2021,726
868,5/30/2021,382
869,5/31/2021,681
870,6/1/2021,578
871,6/2/2021,623
872,6/3/2021,738
873,6/4/2021,453
874,6/5/2021,422
875,6/6/2021,354
876,6/7/2021,694
877,6/8/2021,412
878,6/9/2021,165
879,6/10/2021,362
880,6/11/2021,450
881,6/12/2021,262
882,6/13/2021,534
883,6/14/2021,521
884,6/15/2021,835
885,6/16/2021,812
886,6/17/2021,838
887,6/18/2021,853
888,6/19/2021,803
889,6/20/2021,443
890,6/21/2021,688
891,6/22/2021,1143
892,6/23/2021,1027
893,6/24/2021,1020
894,6/25/2021,1011
895,6/26/2021,930
896,6/27/2021,479
897,6/28/2021,715
898,6/29/2021,1363
899,6/30/2021,1863
900,7/1/2021,659
901,7/2/2021,363
902,7/3/2021,337
903,7/4/2021,627
904,7/5/2021,502
905,7/6/2021,351
906,7/7/2021,745
907,7/8/2021,407
908,7/9/2021,313
909,7/10/2021,584
910,7/11/2021,246
911,7/12/2021,441
912,7/13/2021,1171
913,7/14/2021,836
914,7/15/2021,842
915,7/16/2021,885
916,7/17/2021,782
917,7/18/2021,349
918,7/19/2021,444
919,7/20/2021,813
920,7/21/2021,658
921,7/22/2021,523
922,7/23/2021,644
923,7/24/2021,693
924,7/25/2021,324
925,7/26/2021,315
926,7/27/2021,641
927,7/28/2021,790
928,7/29/2021,924
929,7/30/2021,1043
930,7/31/2021,1361
931,8/1/2021,941
932,8/2/2021,446
933,8/3/2021,406
934,8/4/2021,803
935,8/5/2021,493
936,8/6/2021,589
937,8/7/2021,547
938,8/8/2021,204
939,8/9/2021,467
940,8/10/2021,1097
941,8/11/2021,282
942,8/12/2021,519
943,8/13/2021,831
944,8/14/2021,673
945,8/15/2021,231
946,8/16/2021,283
947,8/17/2021,575
948,8/18/2021,688
949,8/19/2021,700
950,8/20/2021,668
951,8/21/2021,674
952,8/22/2021,333
953,8/23/2021,320
954,8/24/2021,554
955,8/25/2021,620
956,8/26/2021,692
957,8/27/2021,812
958,8/28/2021,788
959,8/29/2021,324
960,8/30/2021,492
961,8/31/2021,1020
962,9/1/2021,921
963,9/2/2021,718
964,9/3/2021,795
965,9/4/2021,775
966,9/5/2021,215
967,9/6/2021,587
968,9/7/2021,407
969,9/8/2021,356
970,9/9/2021,705
971,9/10/2021,1045
972,9/11/2021,493
973,9/12/2021,589
974,9/13/2021,274
975,9/14/2021,474
976,9/15/2021,470
977,9/16/2021,673
978,9/17/2021,828
979,9/18/2021,723
980,9/19/2021,315
981,9/20/2021,331
982,9/21/2021,534
983,9/22/2021,495
984,9/23/2021,605
985,9/24/2021,750
986,9/25/2021,682
987,9/26/2021,269
988,9/27/2021,318
989,9/28/2021,672
990,9/29/2021,816
991,9/30/2021,1339
992,10/1/2021,373
993,10/2/2021,648
994,10/3/2021,821
995,10/4/2021,601
996,10/5/2021,155
997,10/6/2021,546
998,10/7/2021,287
999,10/8/2021,623
1000,10/9/2021,472
1001,10/10/2021,401
1002,10/11/2021,498
1003,10/12/2021,592
1004,10/13/2021,947
1005,10/14/2021,1280
1006,10/15/2021,1199
1007,10/16/2021,573
1008,10/17/2021,172
1009,10/18/2021,469
1010,10/19/2021,772
1011,10/20/2021,708
1012,10/21/2021,755
1013,10/22/2021,854
1014,10/23/2021,830
1015,10/24/2021,359
1016,10/25/2021,524
1017,10/26/2021,1000
1018,10/27/2021,921
1019,10/28/2021,897
1020,10/29/2021,1039
1021,10/30/2021,1260
1022,10/31/2021,1147
1023,11/1/2021,381
1024,11/2/2021,631
1025,11/3/2021,671
1026,11/4/2021,245
1027,11/5/2021,398
1028,11/6/2021,723
1029,11/7/2021,0
1030,11/8/2021,602
1031,11/9/2021,291
1032,11/10/2021,554
1033,11/11/2021,565
1034,11/12/2021,585
1035,11/13/2021,488
1036,11/14/2021,240
1037,11/15/2021,302
1038,11/16/2021,497
1039,11/17/2021,471
1040,11/18/2021,555
1041,11/19/2021,534
1042,11/20/2021,477
1043,11/21/2021,243
1044,11/22/2021,303
1045,11/23/2021,570
1046,11/24/2021,626
1047,11/25/2021,656
1048,11/26/2021,725
1049,11/27/2021,709
1050,11/28/2021,342
1051,11/29/2021,562
1052,11/30/2021,1037
1053,12/1/2021,703
1054,12/2/2021,810
1055,12/3/2021,398
1056,12/4/2021,381
1057,12/5/2021,317
1058,12/6/2021,909
1059,12/7/2021,756
1060,12/8/2021,715
1061,12/9/2021,223
1062,12/10/2021,957
1063,12/11/2021,547
1064,12/12/2021,291
1065,12/13/2021,361
1066,12/14/2021,584
1067,12/15/2021,548
1068,12/16/2021,600
1069,12/17/2021,601
1070,12/18/2021,567
1071,12/19/2021,290
1072,12/20/2021,339
1073,12/21/2021,557
1074,12/22/2021,573
1075,12/23/2021,662
1076,12/24/2021,721
1077,12/25/2021,541
1078,12/26/2021,159
1079,12/27/2021,282
1080,12/28/2021,573
1081,12/29/2021,796
1082,12/30/2021,962
1083,12/31/2021,1092
1084,1/1/2022,0
1085,1/2/2022,0
1086,1/3/2022,0
1087,1/4/2022,0
1088,1/5/2022,0
1089,1/6/2022,0
1090,1/7/2022,0
1091,1/8/2022,0
1092,1/9/2022,0
1093,1/10/2022,0
1094,1/11/2022,0
1095,1/12/2022,0
1096,1/13/2022,750
1097,1/14/2022,639
1098,1/15/2022,230
1099,1/16/2022,14
1100,1/17/2022,253
1101,1/18/2022,471
1102,1/19/2022,636
1103,1/20/2022,770
1104,1/21/2022,714
1105,1/22/2022,685
1106,1/23/2022,341
1107,1/24/2022,371
1108,1/25/2022,667
1109,1/26/2022,353
1110,1/27/2022,525
1111,1/28/2022,987
1112,1/29/2022,957
1113,1/30/2022,573
1114,1/31/2022,852
1115,2/1/2022,137
1116,2/2/2022,525
1117,2/3/2022,193
1118,2/4/2022,306
1119,2/5/2022,472
1120,2/6/2022,760
1121,2/7/2022,725
1122,2/8/2022,520
1123,2/9/2022,635
1124,2/10/2022,0
1125,2/11/2022,0
1126,2/12/2022,0
1127,2/13/2022,287
1128,2/14/2022,362
1129,2/15/2022,676
1130,2/16/2022,712
1131,2/17/2022,756
1132,2/18/2022,777
1133,2/19/2022,724
1134,2/20/2022,337
1135,2/21/2022,436
1136,2/22/2022,693
1137,2/23/2022,627
1138,2/24/2022,758
1139,2/25/2022,925
1140,2/26/2022,943
1141,2/27/2022,519
1142,2/28/2022,886
1143,3/1/2022,320
1144,3/2/2022,751
1145,3/3/2022,391
1146,3/4/2022,110
1147,3/5/2022,490
1148,3/6/2022,727
1149,3/7/2022,343
1150,3/8/2022,539
1151,3/9/2022,575
1152,3/10/2022,0
1153,3/11/2022,0
1154,3/12/2022,0
1155,3/13/2022,310
1156,3/14/2022,428
1157,3/15/2022,699
1158,3/16/2022,665
1159,3/17/2022,725
1160,3/18/2022,474
1161,3/19/2022,415
1162,3/20/2022,382
1163,3/21/2022,550
1164,3/22/2022,807
1165,3/23/2022,765
1166,3/24/2022,827
1167,3/25/2022,801
1168,3/26/2022,817
1169,3/27/2022,465
1170,3/28/2022,643
1171,3/29/2022,1032
1172,3/30/2022,1075
1173,3/31/2022,1693
1174,4/1/2022,489
1175,4/2/2022,731
1176,4/3/2022,664
1177,4/4/2022,335
1178,4/5/2022,356
1179,4/6/2022,788
1180,4/7/2022,360
1181,4/8/2022,578
1182,4/9/2022,296
1183,4/10/2022,0
1184,4/11/2022,0
1185,4/12/2022,0
1186,4/13/2022,725
1187,4/14/2022,861
1188,4/15/2022,747
1189,4/16/2022,567
1190,4/17/2022,303
1191,4/18/2022,475
1192,4/19/2022,743
1193,4/20/2022,727
1194,4/21/2022,846
1195,4/22/2022,844
1196,4/23/2022,722
1197,4/24/2022,328
1198,4/25/2022,381
1199,4/26/2022,711
1200,4/27/2022,789
1201,4/28/2022,858
1202,4/29/2022,1114
1203,4/30/2022,1556
1204,5/1/2022,440
1205,5/2/2022,658
1206,5/3/2022,646
1207,5/4/2022,656
1208,5/5/2022,503
1209,5/6/2022,409
1210,5/7/2022,649
1211,5/8/2022,548
1212,5/9/2022,268
1213,5/10/2022,0
1214,5/11/2022,0
1215,5/12/2022,0
1216,5/13/2022,894
1217,5/14/2022,887
1218,5/15/2022,377
1219,5/16/2022,422
1220,5/17/2022,812
1221,5/18/2022,838
1222,5/19/2022,792
1223,5/20/2022,799
